"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Nunica","Nunica","MI","Michigan","26139","Ottawa","43.0810","-86.0721","200","42.2","shape","FALSE","FALSE","America/Detroit","3","49448","1840071081"
"Burnett","Burnett","IN","Indiana","18167","Vigo","39.5428","-87.2956","200","185.9","point","FALSE","FALSE","America/Indiana/Indianapolis","4","47805","1840029919"
"White Shield","White Shield","ND","North Dakota","38055","McLean","47.6601","-101.8436","200","20.3","shape","FALSE","FALSE","America/Chicago","3","58775 58540","1840006615"
"Goodman","Goodman","WI","Wisconsin","55075","Marinette","45.6230","-88.3518","200","46.5","shape","FALSE","FALSE","America/Chicago","3","54125","1840026081"
"North Henderson","North Henderson","IL","Illinois","17131","Mercer","41.0904","-90.4748","199","120.2","shape","FALSE","TRUE","America/Chicago","3","61466","1840011679"
"Napoleon","Napoleon","MO","Missouri","29107","Lafayette","39.1293","-94.0857","199","44.0","shape","FALSE","TRUE","America/Chicago","3","64074 64097","1840008525"
"Kite","Kite","GA","Georgia","13167","Johnson","32.6921","-82.5136","199","95.4","shape","FALSE","TRUE","America/New_York","3","31049","1840014876"
"Spray","Spray","OR","Oregon","41069","Wheeler","44.8335","-119.7949","199","100.3","shape","FALSE","TRUE","America/Los_Angeles","3","97874","1840022339"
"Phillipsburg","Phillipsburg","MO","Missouri","29105","Laclede","37.5525","-92.7871","199","96.4","shape","FALSE","TRUE","America/Chicago","3","65722 65632","1840012983"
"Newport Center","Newport Center","VT","Vermont","50019","Orleans","44.9527","-72.3065","199","195.1","shape","FALSE","FALSE","America/New_York","3","05857","1840025334"
"Richland","Richland","OR","Oregon","41001","Baker","44.7682","-117.1669","199","174.3","shape","FALSE","TRUE","America/Los_Angeles","3","97870","1840019969"
"Glencoe","Glencoe","LA","Louisiana","22101","St. Mary","29.8111","-91.6703","199","116.1","shape","FALSE","FALSE","America/Chicago","3","70538","1840025133"
"Rockford","Rockford","ID","Idaho","16011","Bingham","43.1892","-112.5306","199","69.2","shape","FALSE","FALSE","America/Boise","3","83221","1840024026"
"Sawyerville","Sawyerville","IL","Illinois","17117","Macoupin","39.0785","-89.8020","199","77.8","shape","FALSE","TRUE","America/Chicago","3","62085 62009","1840012660"
"Braggs","Braggs","OK","Oklahoma","40101","Muskogee","35.6634","-95.1984","199","257.7","shape","FALSE","TRUE","America/Chicago","3","74423 74439","1840021718"
"Cape Meares","Cape Meares","OR","Oregon","41057","Tillamook","45.5153","-123.9536","199","22.3","shape","FALSE","FALSE","America/Los_Angeles","3","97141","1840034758"
"Fisher","Fisher","LA","Louisiana","22085","Sabine","31.4934","-93.4597","199","124.7","shape","FALSE","TRUE","America/Chicago","3","71426 71449","1840018158"
"Mirando City","Mirando City","TX","Texas","48479","Webb","27.4401","-99.0006","199","245.7","shape","FALSE","FALSE","America/Chicago","3","78369","1840019704"
"Damascus","Damascus","OH","Ohio","39099","Mahoning","40.9042","-80.9523","199","96.2","shape","FALSE","FALSE","America/New_York","3","44460 44619","1840026376"
"Blue Springs","Blue Springs","NE","Nebraska","31067","Gage","40.1375","-96.6631","199","100.2","shape","FALSE","TRUE","America/Chicago","3","68318 68466","1840007234"
"Arctic Village","Arctic Village","AK","Alaska","02290","Yukon-Koyukuk","68.1421","-145.4956","199","1.2","shape","FALSE","FALSE","America/Anchorage","3","99722","1840023431"
"Blackwell","Blackwell","TX","Texas","48353","Nolan","32.0851","-100.3194","199","130.0","shape","FALSE","TRUE","America/Chicago","3","79506","1840019473"
"Bellechester","Bellechester","MN","Minnesota","27049","Goodhue","44.3710","-92.5113","199","270.1","shape","FALSE","TRUE","America/Chicago","3","55027","1840006779"
"Conconully","Conconully","WA","Washington","53047","Okanogan","48.5586","-119.7521","199","148.8","shape","FALSE","TRUE","America/Los_Angeles","3","98819","1840022269"
"Holcombe","Holcombe","WI","Wisconsin","55017","Chippewa","45.2261","-91.1217","199","79.4","shape","FALSE","FALSE","America/Chicago","3","54745","1840025317"
"Aristes","Aristes","PA","Pennsylvania","42037","Columbia","40.8156","-76.3395","199","175.3","shape","FALSE","FALSE","America/New_York","3","17920","1840004994"
"Leisure Lake","Leisure Lake","MO","Missouri","29079","Grundy","40.1100","-93.7236","199","55.2","shape","FALSE","TRUE","America/Chicago","4","64683","1840042745"
"Hubbard","Hubbard","NE","Nebraska","31043","Dakota","42.3859","-96.5915","199","149.0","shape","FALSE","TRUE","America/Chicago","3","68741","1840011103"
"Bogus Hill","Bogus Hill","CT","Connecticut","09190","Western Connecticut","41.5075","-73.4625","199","531.4","shape","FALSE","FALSE","America/New_York","3","06812","1840148232"
"Summerfield","Summerfield","OH","Ohio","39121","Noble","39.7969","-81.3355","199","279.9","shape","FALSE","TRUE","America/New_York","3","43788","1840012467"
"Center","Center","NE","Nebraska","31107","Knox","42.6090","-97.8761","199","79.9","shape","FALSE","TRUE","America/Chicago","3","68724","1840010090"
"Springhill","Springhill","MT","Montana","30031","Gallatin","45.8788","-111.0773","199","27.6","shape","FALSE","FALSE","America/Denver","3","59714","1840032825"
"Center Ridge","Center Ridge","AR","Arkansas","05029","Conway","35.3796","-92.5694","199","8.1","shape","FALSE","FALSE","America/Chicago","3","72027","1840025825"
"Old Monroe","Old Monroe","MO","Missouri","29113","Lincoln","38.9379","-90.7468","199","32.8","shape","FALSE","TRUE","America/Chicago","3","63369","1840009682"
"Moose Pass","Moose Pass","AK","Alaska","02122","Kenai Peninsula","60.4997","-149.4464","199","4.3","shape","FALSE","FALSE","America/Anchorage","3","99631","1840023408"
"Unadilla Forks","Unadilla Forks","NY","New York","36077","Otsego","42.8497","-75.2308","199","15.4","shape","FALSE","FALSE","America/New_York","3","13491","1840085627"
"Jacob City","Jacob City","FL","Florida","12063","Jackson","30.8925","-85.4108","199","25.2","shape","FALSE","TRUE","America/Chicago","4","32431","1840036116"
